id,english,japanese,romanji,type,category,format,level
614,lazy,怠ける,namakeru,v,,ichidan,N1
615,tool,ツール,tsūru,n,,,K
616,fix,修正する,shūsei suru,v,,special,N1
617,feed,餌,esa,n,,,N4
618,manga,マンガ,manga,n,,,K
619,customer/client,顧客,kokyaku,n,,,N1
620,access,アクセスする,akusesu suru,v,,special,K
621,bamboo forest,竹林,chikurin,n,nature,,N2
622,body/form,体,karada,n,,,N4
623,play (instrument),弾く,hiku,v,,godan,N1
624,hard,大変,taihen,adj,,NA,N3
625,learn,学ぶ,manabu,v,,godan,N5
626,frequency,頻度,hindo,n,,,N1
627,bone,骨,hone,n,body part,,N2
628,times (counter),回,kai,n,,,N3
629,soda,ソーダ,sōda,n,,,K
630,uncle,叔父,oji,n,family,,N1
631,fishing,釣る,tsuru,v,,godan,N1
632,challenge,挑戦,chōsen,n,,,N1
633,necessary/essential,必要,hitsuyō,adj,,NA,N3
634,all,全部,zenbu,,,,N3
635,player,選手,senshu,n,,,N3
636,bet/gamble,賭ける,kakeru,v,,ichidan,N1
637,slipper,スリッパ,surippa,n,clothes,,K
638,mineral,ミネラル,mineraru,n,,,K
639,mystery,ミステリー,misuterī,n,,,K
640,dragon,ドラゴン,doragon,n,animal,,K
641,place,場所,basho,n,,,N3
642,artist,芸術家,geijitsuka,n,job,,N2
643,pasta,パスタ,pasuta,n,food,,K
644,beautiful,美しい,utsukushī,adj,,I,N3
645,hobby,趣味,shumi,n,,,N1
646,beggar,乞食,kojiki,n,,,N2
647,volleyball,バレーボール,barēbōru,n,sport,,K
648,restroom,手洗い,tearai,n,,,N3
649,email,メール,mēru,n,,,K
650,vase,花瓶,kabin,n,,,N2
651,rare,稀,mare,adj,,NA,N1
652,skip (school),サボる,saboru,v,,godan,K
653,really,本当に,hontōni,adv,,,N3
654,reason,理由,riyū,,,,N3
655,delay/lag,遅れ,okure,n,,,N3
656,complain,ぼやく,boyaku,v,,godan,H
657,breath,呼吸,kokyū,n,,,N3
658,painful,苦しい,kurushī,adj,,I,N3
659,title,タイトル,taitoru,n,,,K
660,win/achieve,獲得する,kakutoku suru,v,,ichidan,N1
661,illegal,違法,ihō,adj,,NA,N3
662,thought/idea,考えだ,kangaeda,n,,,N4
663,calm,落ち着く,ochitsuku,v,,godan,N3
664,explore,探検する,tanken suru,v,,ichidan,N1
665,goal/objective,目的,mokuteki,n,,,N2
666,patient,患者,kanja,n,,,N2
667,skilled,上手,jōzu,adj,,NA,N5
668,shelf,棚,tana,n,furniture,,N1
669,totemo,とても,totemo,adv,degree,,H
670,really/incredibly,すごく,sugoku,adv,degree,,H
671,fairly/quite,かなり,kanari,adv,degree,,H
672,extremely,非常に,hijō ni,adv,degree,,N3
673,rather/fairly,けっこう,kekkō,adv,degree,,H
674,a little/slightly,ちょっと,chotto,adv,degree,,H
675,a little/a bit,少し,sukoshi,adv,degree,,N5
676,not that much,そんなに,sonna ni,adv,degree,,H
677,fatigue,疲れ,tsukare,n,,,N3
678,babysit,子守りをする,komori o suru,v,,ichidan,N3
679,turn off/delete/remove,消す,kesu,v,,godan,N3
680,turn on,つける,tsukeru,v,,ichidan,H
681,desk,机,tsukeru,n,furniture,,N2
682,thing/stuff,物,mono,n,,,N4
683,mountain peak,山頂,sanchō,n,,,N3
684,reach,到達する,tōtatsu suru,v,,godan,N3
685,soldier,兵士,heishi,n,job,,N1
686,optimal,最適,saiteki,adj,,NA,N3
687,queen,女王,joō,n,,,N3
688,strange/weird,変,hen,adj,,NA,N3
689,translate,翻訳する,honyaku suru,v,,ichidan,N1
690,race,レース,rēsu,n,,,K
691,early morning,早朝,sōchō,n,,,N4
692,sunset,夕日,yūhi,n,,,N4
693,vacuum cleaner,掃除機,sōjiki,n,gadget,,N2
694,spaghetti,スパゲッティ,supagetti,n,food,,K
695,microwave,電子レンジ,denshi renji,n,machine,,N5
696,bar,バー,bā,n,place,,K
697,intern,インターン,intān,n,,,K
698,apartment,アパート,apāto,n,,,K
699,shine (sun),輝く,kagayaku,v,,godan,N1
700,living room,リビング,ribingu,n,,,K
701,maybe/probably,多分,tabun,,,,N5
702,foot,足,ashi,n,body part,,N4
703,experience,体験,taiken,n,,,N4
704,strengthen,強める,tsuyomeru,v,,ichidan,N4
705,ability,能力,nōryoku,n,,,N3
706,free time/spare time,暇な時間,himana jikan,n,,,N1
707,leisure,暇,hima,adj,,NA,N1
708,Indian,インド,indo,n,country,,K
709,year,年,toshi,n,time,,N5
710,confusion,混乱,konran,n,,,N2
711,incident,事件,jiken,n,,,N3
712,careful,注意深い,chūibukai,adj,,I,N3
713,powerful,力強い,chikaradzuyoi,adj,,I,N4
714,kick,蹴る,keru,v,,ichidan,N1
715,lift,持ち上げる,mochirageru,v,,ichidan,N4
716,log (wood),丸太,maruta,n,,,N2
717,journalist,ジャーナリスト,jānarisuto,n,job,,K
718,young,若い,wakai,adj,,I,N3
719,expert,専門家,senmonka,n,,,N2
720,angry,怒る,okoru,v,,godan,N3
721,director,監督,kantoku,n,job,,N1
722,promotion,昇進,shōshin,n,,,N2
723,valuable,貴重,kichō,adj,,NA,N1
724,rabbit,兎,usagi,n,animal,,N2
725,racoon,ラクーン,rakūn,n,animal,,K
726,constantly,常に,tsune ni,adv,degree,,N3
727,truck,トラック,torakku,n,transportation,,K
728,hit/punch/strike,殴る,naguru,v,,godan,N1
729,rioter,暴徒,bōto,n,,,N2
730,violent,暴力的,bōryokuteki,adj,,NA,N2
731,accident,事故,jiko,n,,,N1
732,certain,確か,tashika,adj,,NA,N3
733,orderly,整然,seizen,adv,,,N1
734,mission,任務,ninmu,n,,,N3
735,mission,ミッション,misshon,n,,,K
736,childbirth/labouring,出産,shussan,n,,,N3
737,presentation/announcement,発表,happyō,n,,,N3
738,take a poop,うんちをする,unchi o suru,v,,ichidan,H
739,break (egg),割る,waru,v,,godan,N3
740,midnight,真夜中,mayonaka,n,,,N4
741,bowling,ボウリング,bōringu,n,sport,,K
742,tournament,大会,taikai,n,,,K
743,master,マスター,masutā,n,,,K
744,chess,チェス,chesu,n,sport,,K
745,perfect/flawless,完璧,kanpeki,adj,,NA,N2
746,comfortable,快適,kaiteki,adj,,NA,N2
747,sand,砂,suna,n,nature,,N2
748,move (residence),引っ越す,hikkosu,v,,godan,N3
749,backpack,バックパック,bakku pakku,n,,,K
750,ground,地面,jimen,n,nature,,N3
751,bury/cover,埋める,umeru,v,,ichidan,N2
752,aunt,叔母,oba,n,family,,N1
753,miso soup,味噌汁,misoshiru,n,food,,N1
754,taste,味,aji,n,,,N4
755,cage,檻,ori,n,,,N1
756,dinner,夕食,yūshoku,n,,,N4
757,volunteer,志願する,shigan suru,v,,ichidan,N1
758,leader,リーダ,rīda,n,,,K
759,ostrich,ダチョウ,dachō,n,animal,,K
760,air,気,ki,n,,,N5
761,kilo/kilometer,キロ,kiro,n,metric,,K
762,throat,喉,nodo,n,body part,,N1
763,thirsty,喉が渇く,thirsty,v,,godan,N1
764,handsome,ハンサム,hansamu,adj,,NA,K
765,plate,皿,sara,n,,,N2
766,task,タスク,tasuku,n,,,K
767,arrive,着く,tsuku,v,,godan,N4
768,prison/jail,監獄,kangoku,n,,,N1
769,space,スペース,supēsu,n,,,K
770,France,フランス,furansu,n,country,,K
771,atmosphere,雰囲気,funiki,n,,,N1
772,cherry,チェリー,cherī,n,fruit,,K
773,bomb,爆撃する,bakugeki suru,v,,special,N1
774,apply (job),応募する,ōbo suru,v,,special,N1
775,take an exam,受験する,juken suru,v,,ichidan,N3
776,ceiling,天井,tenjō,n,,,N1
777,rich/wealthy,裕福,yūfuku,adj,,NA,N1
778,storage,保管,hokan,n,,,N1
779,lively/busy,賑やか,nigiyaka,adj,,NA,N2
780,gym,ジム,jimu,n,place,,K
781,take (time),掛かる,kakaru,v,,godan,N3
782,charge,充電する,jūden suru,v,,special,N1
783,ear,耳,mimi,n,body part,,N3
784,bat (baseball),バット,batto,n,,,K
785,damage,傷つける,kizutsukeru,v,,ichidan,N1
786,monkey,猿,saru,n,animal,,N1
787,recommend/advice,お勧め,osusume,n,,,N1
788,victory,勝利,shōri,n,,,N3
789,extreme heat,猛暑,mōsho,n,,,N1
790,close (shop),閉店する,heiten suru,v,,ichidan,N3
791,circus,サーカス,sākasu,n,place,,K
792,washing machine,洗濯機,sentakki,n,gadget,,N2
793,castle,城,shiro,n,,,N2
794,become,なる,naru,v,,godan,H
795,Antarctica,南極大陸,nankyokutairiku,n,country,,N2
796,plant,植える,ueru,v,,ichidan,N2
797,plant,植,ue,n,nature,,N2
798,fit,合う,au,v,,godan,N3
799,bottle,瓶,bin,n,,,N2
800,throw away,捨てる,suteru,v,,ichidan,N2
801,plain/unattractive,不細工,busaiku,adj,,NA,N2
802,ugly (appearance),醜い,minikui,adj,,I,N1
803,temple,寺,tera,n,,,N2
804,Mars,火星,kasei,n,planet,,N2
805,choose,選ぶ,erabu,v,,godan,N3
806,member,メンバー,menbā,n,,,K
807,dirt/soil,土,tsuchi,n,,,N5
808,ball/sphere,玉,tama,n,,,N2
809,hard-working,勤勉,kinben,adj,,NA,N3
810,work (office),働く,hataraku,v,,godan,N3
811,calf,子牛,koushi,n,clothes,,N4
812,wizard/magician,魔法使い,mahōtsukai,n,job,,N1
813,basic,基礎,kiso,n,,,N1
814,population,人口,jinkō,n,,,N4
815,difference,違い,chigai,n,,,N3
816,painting,絵画,kaiga,n,,,N3
817,transfer,転勤,tenkin,n,,,N3
818,vehicle,乗り物,norimono,n,transportation,,N3
819,grow,育つ,sodatsu,v,,godan,N3
820,city,市,ichi,n,,,N3
821,poor (money),貧しい,mazushī,adj,,I,N3
822,seed,種,tane,n,,,N3
823,ancient,古代,kodai,adj,,NA,N4
824,shopping,買い物,kaimono,n,,,N5
825,be born,生まれ出る,umade reru,v,,ichidan,N5
826,mouth,口,kuchi,n,body part,,N4
827,give birth,生む,umu,v,,godan,N5
828,give,上げる,ageru,v,,ichidan,N5
829,breed/kind/type,種類,shurui,n,,,N3
830,tradition,伝統,dentō,n,,,N1
831,graduate,卒業する,sotsugyō suru,v,,ichidan,N4
832,boot,ブーツ,būtsu,n,clothes,,K
833,lose (an item),失くす,nakusu,v,transitive,godan,N3
834,explore,探索する,tansaku suru,v,,special,N1
835,tour guide,ツアーガイド,tsuāgaido,n,job,,K
836,guide,ガイド,gaido,n,,,K
837,rotate,回転する,kaiten suru,v,,special,N3
838,last,続く,tsudzuku,v,,godan,N3
839,war,戦争,sensō,n,,,N3
840,live stream,ライブ配信する,raibu haishin suru,v,,special,N3
841,celebrity,有名人,yūmeijin,n,,,N4
842,fix/repair,直す,naosu,v,,godan,N3
843,peach,桃,momo,n,fruit,,N1
844,butcher,屠殺する,tosatsu suru,v,,ichidan,N3
845,dolphin,イルカ,iruka,n,animal,,K
846,monk,僧侶,sōryo,n,job,,N1
847,chopstick,箸,hashi,n,,,N2
848,soup,汁,shiru,n,food,,N1
849,villa,別荘,bessō,n,,,N1
850,break (pen),折る,oru,v,,godan,N3
851,dirty,汚い,kitanai,adj,,I,N2
852,fence,フェンス,fensu,n,,,K
853,a little,少々,shoushou,,,,H
854,plan,計画する,keikaku suru,v,,ichidan,N4
855,photographer,写真家,shashinka,n,job,,N4
856,wall,壁,kabe,n,,,N1
857,paint/coat/spread,塗る,nuru,v,,godan,N2
858,call/name/refer to as,呼ぶ,yobu,v,,godan,N3
859,hole,穴,ana,n,,,N1
860,dig,掘る,horu,v,,godan,N2
861,flutter/wing/dance (in the air),舞う,mau,v,,godan,N3
862,plumber,配管工,haikan kō,n,job,,N2
863,snake,蛇,hebi,n,animal,,N1
864,phone number,電話番号,denwabangō,n,,,N3
865,monster,怪物,kaibutsu,n,,,N1
866,number,番,ban,n,,,N3
867,fruit,果物,kudamono,n,,,N3
868,video/movie,動画,dōga,n,,,N4
869,properly,ちゃんと,chanto,adv,degree,,H
870,firework,花火,hanabi,n,,,N4
871,concert,コンサート,konsāto,n,,,K
872,catch/capture/arrest,捕まえる,tsukamaeru,v,,ichidan,N3
873,heat,温める,atatameru,v,,ichidan,N2
874,heater,ヒーター,hītā,n,gadget,,K
875,shopping cart,ショッピングカート,shoppingukāto,n,,,K
876,condition/state,具合,guai,n,,,N3
877,material,材料,zairyō,n,,,N2
878,expensive/high-priced,高価,kōka,adj,,NA,N1
879,gold,金,kin,n,material,,N5
880,glove,手袋,teburuko,n,clothes,,N2
881,hot spring,温泉,onsen,n,,,N2
882,souvernir,土産,miyage,n,,,N3
883,direction,方向,hōkō,n,,,N3
884,North,北,kita,n,direction,,N5
885,South,南,minimi,n,direction,,N5
886,East,東,higashi,n,direction,,N5
887,West,西,nishi,n,direction,,N5
888,straight,"真っ直ぐ	",massugu,n,direction,,N3
889,bridge,橋,hashi,n,place,,N2
890,go through/pass,通る,tōru,v,,godan,N4
891,position (company),役職,yakushoku,n,company,,N3
892,position,ポジション,pojishon,n,,,K
893,suitable,適当,tekitō,adj,,NA,N3
894,paint,ペイント,peinto,n,,,K
895,spill/overflow,溢れる,afureru,v,,ichidan,N1
896,ladder,はしご,hashigo,n,,,H
897,crocodile,鰐,wani,n,animal,,N2
898,aluminium,アルミニウム,aruminiumu,n,material,,K
899,chemical substance,化学物質,kagaku busshitsu,n,,,N3
900,waste (time),無駄にする,mudani suru,v,transitive,ichidan,N1
901,to be wasted,無駄になる,mudani naru,v,instransitive,godan,N1
902,kidney,腎臓,jinzō,n,body part,,N1
903,salt,塩,shio,n,material,,N2
904,electric vehicle,電気自動車,denki jidōsha,n,transportation,,N4
905,manufactoring/production,製造,seizō,n,,,N1
906,tsunami,津波,tsunami,n,nature,,N1
907,plan,計,kei,n,,,N4
908,gallery,ギャラリー,gyararī,n,place,,K
909,watch,時計,tokei,n,clothes,,N4
910,silver,銀,gin,n,material,,N4
911,insert/put in,入れる,ireru,v,,ichidan,N5
912,later,後で,ato de,,,,N5
913,first/before,先,saki,,,,N5
914,help,手伝う,tetsudau,n,,godan,N3
915,laundry,洗濯,sentaku,n,,,N2
916,housework/chores,家事,kaji,n,,,N4
917,tool,道具,dōgu,n,,,N3
918,dessert,デザート,dezāto,n,,,K
919,Australia,オーストラリア,ōsutoraria,n,country,,K
920,veteran/senior,古株,furukabu,n,,,N1
921,helmet,兜,kabuto,n,clothes,,N1
922,think/feel,思う,omou,v,,godan,N4
923,gift,贈り物,okurimono,n,,,N2
924,award/give a present/gift,贈る,okuru,v,,godan,N2
925,sweet/candy,お菓子,okashi,n,,,N2
926,voice,声,koe,n,,,N3
927,easy,易い,yasui,adj,,I,N3
928,perform/carry out,行う,okonau,v,,godan,N5
929,shout/yell,叫ぶ,sakebu,v,,ichidan,N2
930,Spanish,スペイン語,supeingo,n,country,,N5
931,fluent,流暢,ryūchō,adj,,NA,N1
932,underwater,水中,suichū,n,,,N5
933,breath,息をする,iki o suru,v,,ichidan,N3
934,breath,息,iki,n,,,N3
935,practice,練習する,renshū suru,v,,ichidan,N2
936,tear/break/destroy,破る,yaburu,v,,godan,N3
937,experiment,実験,jikken,n,,,N3
938,researcher,研究者,kenkyūsha,n,job,,N4
939,laboratory,研究室,kenkyūshitsu,n,,,N4
940,cup,杯,hai,n,counter,,N3
941,special,特別,tokubetsu,n,,NA,N4
942,note,ノート,nōto,n,,,K
943,observation,観察,kansatsu,n,,,N3
944,PC,パソコン,pasokon,n,technology,,K
945,result/outcome,結果,kekka,n,,,N1
946,analysis,分析,bunseki,n,,,N1
947,lastly,最後に,saigo ni,adv,,,N3
948,report,レポート,repōto,n,,,K
949,conversation,会話,kaiwa,n,,,N4
950,sunscreen,日焼け止め,hiyakedome,n,,,N2
951,burn/bake/roast,焼く,yaku,v,transitive,godan,N2
952,by/per,別,betsu,,,,N4
953,sales,売上,uriage,n,,,N4
954,confirmation,確認,kakunin,n,,,N3
955,confirm,確認 する,kakunin suru,v,,special,N3
956,store/shop,店舗,tenpo,n,place,,N1
957,bring to a conclusion,纏める,matomeru,v,,ichidan,N1
958,divide/split,分ける,wakeru,n,,,N4
959,sex/gender,性,sei,n,,,N3
960,comparison,比較,hikaku,n,,,N1
961,compare,比較 する,hikaku suru,v,,special,N1
962,member,会員,kaiin,n,,,N4
963,club,クラブ,kurabu,n,,,K
964,new/newly started,新規,shink,adj,,NA,N3
965,rule,規,tadashi,n,,,N3
966,count,数,sū,n,,,N3
967,visitor,来場者,raijōsha,n,,,N4
968,predection/forecast,予想,yosō,,,,N3
969,sunglass,サングラス,sanburasu,n,clothes,,K
970,necklace,ネックレス,nekkurasu,n,clothes,,K
971,preparation,準備,junbi,n,,,N2
972,broccoli,ブロッコリー,burokkorī,n,food,,K
973,ketchup,ケチャップ,kechappu,n,food,,K
974,water park,ウォーターパーク,wōtā pāku,n,,,K
975,owner,オーナー,ōnā,n,,,K
976,opinion/view,意見,iken,n,,,N4
977,snack,スナック,sunakku,n,food,,K
978,suit,スーツ,sūtsu,n,clothes,,K
979,coach,コーチ,kōchi,n,,,K
980,poor/poverty,貧乏,binbō,n,,,N1
981,family/home,家庭,katei,n,,,N3
982,discrimination,差別,sabetsu,n,,,N3
983,warrior/fighter/combatant,戦士,senshi,n,,,N1
984,surgery,手術,shujutsu,n,,,N3
985,patient,忍耐強い,nintaidzuyoi,adj,,I,N1
986,change,変える,kaeru,v,transitive,ichidan,N3
987,change,変わる,kawaru,v,intransitive,godan,N3
988,start,始まる,hajimaru,v,intransitive,godan,N4
989,stop,止める,yameru,v,transitive,ichidan,N4
990,stop,止まる,tomaru,v,intransitive,godan,N4
991,fuel,燃料,nenryō,n,,,N2
992,electric-powered/electric,電動,dendō,n,,,N4
993,permit,許証,kyoshō,n,,,N1
994,driver's license,免許証,menkyoshō,n,,,N1
995,burn,焼ける,yakeru,v,intransitive,ichidan,N2
996,aggressive/offensive,攻撃的,kōgekiteki,adj,,NA,N1
997,dragon,竜,ryū,n,animal,,N1
998,break/destroy,壊す,kowasu,v,transitive,godan,N1
999,break/destroy,壊れる,kowareru,v,intransitive,godan,N1
1000,niece,姪,mei,n,family,,N3
1001,drop,落とす,otosu,v,transitive,godan,N3
1002,floor,床,yuka,n,,,N2
1003,gravity,重力,jūryoku,n,space,,N4
1004,inject,注射する,chūsha suru,v,,ichidan,N1
1005,genius,天才,tensai,n,,,N3
1006,slow,遅い,osoi,adj,,I,N3
1007,owl,フクロウ,fukurō,n,animal,,K
1008,flip over/turn upside down,ひっくり返す,hikkurikaesu,v,,godan,N3
1009,machine,機,ki,n,,,N3
1010,moment,瞬間,shunkan,n,,,N3
1011,investment,投資,tōshi,n,,,N3
1012,platform,プラットフォーム,purattofōmu,n,,,K
1013,truck driver,トラック運転手,torakku untenshu,n,job,,K
1014,tunnel,トンネル,tonneru,n,,,K
1015,tunnel/level,坑道,kōdō,n,,,N1
1016,criminal,犯罪者,hanzai-sha,n,,,N3
1017,court,裁判所,saibansho,n,place,,N1
1018,scientist,科学者,kagakusha,n,job,,N3
1019,category,カテゴリ,kategori,n,,,K
1020,bullet train,新幹線,shinkansen,n,transportation,,N1
1021,scooter,スクーター,sukūtā,n,transportation,,K
1022,bike,バイク,baiku,n,transportation,,K
1023,lobby,ロビー,robī,n,,,K
1024,suitcase,スーツケース,sūtsukēsu,n,,,K
1025,heavy,重い,omoi,adj,,I,N4
1026,painting/picture,絵,e,n,,,N3
1027,plaza/square,広場,hirobi,n,,,N4
1028,bath,お風呂,ofuro,n,,,N1
1029,night/evening,夜,yoru,n,time,,N4
1030,second,秒,byō,n,time,,N2
1031,minute,分,bun,n,time,,N4
1032,matcha,抹茶,matcha,n,food,,N1
1033,cookie,クッキー,kukkī,n,food,,K
1034,sweets,甘い物,amaimono,n,food,,N2
1035,together,一緒,issho,,,,N3
1036,free,ひま,hima,adj,,NA,H
1037,vegetable,野菜,yasai,n,food,,N2
1038,soy sauce,醤油,shōyu,n,food,,N2
1039,tofu,豆腐,tōfu ,n,food,,N1
1040,homeless,ホームレス,hōmuresu,adj,,NA,K
1041,salty,塩辛い,shiokarai,v,,I,N2
1042,sauce,ソース,sōsu,n,food,,K
1043,donut,ドーナツ,dōnatsu,n,food,,K
1044,cupcake,カップケーキ,kappukēki,n,food,,K
1045,cheesecake,チーズケーキ,chīzukēki,n,food,,K
1046,reject,拒否する,kyohi suru,v,,ichidan,N1
1047,assignment,課題,kadai,n,,,N2
1048,chocolate,チョコレート,chokorēto,n,food,,K
1049,bench,ベンチ,benchi,n,furniture,,K
1050,grow/increase/expand,増える,fueru,v,,ichidan,N3
1051,event,イベント,ibento,n,,,K
1052,participate,参加する,sanka suru,v,,ichidan,N3
1053,participation,参加,sanka,n,,,N3
1054,brother-in-law,義理の兄,giri no ani,n,family,,N1
1055,sister-in-law,義理の姉,giri no ane,n,family,,N1
1056,father-in-law,義父,gifu,n,family,,N1
1057,mother-in-law,義母,gibo,n,family,,N1
1058,relatives,親族,shinzoku,n,family,,N4
1059,family,身内,miuchi,n,family,,N2
1060,deadline,締め切り,shimekiri,n,,,N1
1061,classroom/class,教室,kyōshitsu,n,,,N4
1062,evening,夕方,yūgata,n,,,N5
1063,pork,豚肉,butaniku,n,food,,N1
1064,serve/heat up,盛る,moru,v,,godan,N1
1065,question,質問,shitsumon,n,,,N4
1066,answer,答える,kotaeru,v,,ichidan,N4
1067,hill,丘,oka,n,nature,,N1
1068,knife,ナイフ,naifu,n,tool,,K
1069,cut,切る,kiru,v,,godan,N4
1070,hatch,孵る,kaeru,v,intransitive,ichidan,N1
1071,hatch/incubate,孵す,kaesu,v,transitive,godan,N1
1072,monitor,モニター,monitā,n,technology,,K
1073,fear/dread/afraid of,恐れる,osoreru,v,,ichidan,N3
1074,lightning,稲妻,inazuma,n,nature,,N1
1075,rice plant,稲,ine,n,plant,,N1
1076,field,田,ta,n,,,N5
1077,rice field,田んぼ,tanbo,n,,,N5
1078,sway/shake,揺れる,yureru,v,,ichidan,N1
1079,give,やる,yaru,v,,godan,H
1080,pick someone up/welcome,迎える,mukaeru,v,,ichidan,N3
1081,do my best,頑張る,ganbaru,v,,ichidan,N1
1082,border,国境,kokkyō,n,,,N2
1083,calculator,電卓,dentaku,n,technology,,N1
1084,sushi,寿司,sushi,n,food,,N1
1085,rollercoaster,ジェットコースター,jettokōsutā,n,,,K
1086,mine,採掘する,saikutsu suru,v,,ichidan,N2
1087,mine,採掘,saikutsu,n,,,N2
1088,dictionary,辞書,jisho,n,,,N3
1089,pencil,鉛筆,enpitsu,n,,,N1
1090,lead,鉛,namari,n,material,,N1
1091,pen,筆,fude,n,,,N2
1092,groom,新郎,shinrō,n,,,N3
1093,bride,新婦,shinpu,n,,,N3
1094,wedding,結婚式,kekkonshiki,n,,,N1
1095,face,顔,kao,n,body part,,N3
1096,sad,悲しい,kanashī,adj,,I,N3
1097,show,ショー,shō,n,,,K
1098,all at once,一度に,ichido ni,,,,N5
1099,jail/prison,刑務所,keimusho,n,,,N1
1100,paper,紙,kami,n,,,N5
1101,tournament,トーナメント,tōnamento,n,,,K
1102,art museum,美術館,bijutsukan,n,place,,N3
1103,security guard,警備員,keiibin,n,job,,N3
1104,meal,食事,shokuji,n,food,,N4
1105,electrical wire,電線,densen,n,electric,,N2
1106,get electrocuted,感電する,kanden suru,v,electric,,N3
1107,season,季節,kisetsu,n,,,N1
1108,learn,習う,narau,v,,godan,N4
1109,child,子,ko,n,,,N5
1110,bucket,バケツ,baketsu,n,,,K
1111,reception,受付,uketsuke,n,,,N3
1112,client,クライアント,kuraianto,n,,,K
1113,decision,決断,keisudan,n,,,N3
1114,fried rice,炒飯,chāhan,n,,,N4
1115,adult,大人,otona,n,,,N5
1116,amusement park/theme park,遊園地,yuenchi,n,place,,N3
1117,enjoy/have fun,楽しむ,tanoshimu,n,,,N4
1118,conjunction,接続詞,setsuzokushi,n,,,N2
1119,presentation,プレゼン,purezen,n,,,K
1120,invitation,招待,shōtai,n,,,N3
1121,invite,招待する,shōtai suru,v,,,N3
1122,green tea,お茶,ocha,n,drink,,N4
1123,empty,空ける,akeru,v,transitive,ichidan,N4
1124,become empty/available,空く,aku,v,intransitive,godan,N4
1125,be late,遅刻する,chikoku suru,v,,special,N3
1126,go out,出かける,dekakeru,v,,ichidan,N5
1127,enroll,入学する,nyūgaku suru,v,,special,N5
1128,schedule/plan,予定,yotei,n,,,N3
1129,about/approximately,約,yaku,adv,,,N3
1130,same,同,dō,n,,,N4
1131,GPS/navigation,ナビ,nabi,n,technology,,K
1132,lunch,昼食,chūshoku,n,,,N4
1133,coworker/colleague,同僚,dōryō,n,,,N1
1134,band,バンド,bando,n,,,K
1135,corner/section,コーナー,kōnā,n,,,K
1136,meeting,ミーティング,mītingu,n,,,K
1137,break,休憩,kyūkei,n,,,N1
1138,entrance,入り口,iriguchi,n,,,N4
1139,close,閉まる,shimaru,v,intransitive,godan,N3
1140,close,閉める,shimeru,v,transitive,ichidan,N3
1141,lend,貸す,kasu,v,,godan,N4
1142,wrench,レンチ,renchi,n,tool,,K
1143,correct,正しい,tadashī,adj,,I,N4
1144,answer,答え,kotae,n,,,N4
1145,solve,解く,toku,v,,ichidan,N3
1146,noon,昼,hiru,n,time,,N4
1147,hate/dislike,嫌う,kirau,v,,godan,N1
1148,card game,カードゲーム,kādogēmu,n,,,K
1149,puzzle,パズル,pazuru,n,,,K
1150,mascot,マスコット,masukotto,n,,,K
1151,character,キャラクター,kyarakutā,n,,,K
1152,be fat,太る,futoru,v,,godan,N3
1153,take with (living things),連れて行く,tsukete iku,v,,,N3
1154,fat/thick,太い,futoi,adj,,I,N3
1155,attraction,アトラクション,atorakushon,n,,,K
1156,bookstore,本屋,honya,n,place,,N4
1157,milk,乳,chichi,n,,,N2
1158,sale,セール,sēru,n,,,K
1159,fiction,フィクション,fikushon,n,,,K
1160,novel/story,小説,shōsetsu,n,,,N3
1161,novel,ノベル,noberu,n,,,K
1162,history,歴史,rekishi,n,,,N2
1163,kimchi,キムチ,kimuchi,n,food,,K
1164,grade/degree,程度,teido,n,,,N3
1165,life,生活,seikatsu,n,,,N3
1166,city,都会,tokai,n,,,N3
1167,statement/speech,発言,hatsugen,n,,,N4
1168,weight,重さ,omosa,n,,,N4
1169,climb,登る,noboru,v,,godan,N3
1170,one time,一度,ichido,adj,,,N3
1171,organize/sorting,整理,seiri,n,,,N1
1172,organize/sort out,整理する,seiri suru,v,,ichidan,N1
1173,investigate,調べる,shiraberu,v,,ichidan,N3
1174,urgent/sudden,急,kyū,n,,,N4
1175,admission fee,入場料,nyūjō-ryō,n,,,N4
1176,camera,カメラ,kamera,n,technology,,K
1177,lovely,素敵,suteki,adj,,NA,N1
1178,word/phrase,言葉,kotoba,n,,,N3
1179,pronounciation,発音,hatsuon,n,,,N4
1180,pronounce,発音する,hatsuon suru,v,,special,N4
1181,at the same time,同時に,dōjini,adv,,,N4
1182,lesson,レッスン,ressun,n,,,K
1183,happen,起こる,okoru,v,,godan,N4
1184,game/match,試合,shiai,n,,,N3
1185,chemistry,化学,kagaku,n,education,,N3
1186,powder,粉,kona,n,,,N2
1187,request,リクエスト,rikuesuto,n,,,K
1188,do again/payback/return (an item),返す,kaesu,v,,godan,N3
1189,chef,シェフ,shefu,n,job,,K
1190,be suprised,驚く,odoroku,v,,godan,N1
1191,marathon,マラソン,marason,n,,,K
1192,director,理事,riji,n,job,,N4
1193,iron,鉄,tetsu,n,material,,N2
1194,stick,棒,bō,n,,,N2
1195,decorate/adorn,飾る,kazaru,v,,ichidan,N1
1196,construction worker,建設作業員,kensetsu sagyō-in,n,job,,N2
1197,mankind,人類,jinrui,n,,,N2
1198,democracy,民主主義,minshu shugi,n,,,N1
1199,internship,インターンシップ,intānshippu,n,,,K
1200,abroad,海外,kaigai,n,,,N4
1201,myself/by my own,自分,jibun,n,,,N4
